claim_id,candidate_id,metric,value,unit,definition,boundary,condition,reported_or_recalculated,section,figure,table,verification_status,notes
CLM-0024-02,PC-CAND-0024,switch_voltage_stress_bound,100,V,measured upper bound on main-switch voltage stress,main MOSFET S,"25 V to 400 V prototype",reported,Experimental results,Fig. 10(a),,numerically_verified_bound,"Text says lower than 100 V; do not replace with simulated 60-V value."
CLM-0024-03,PC-CAND-0024,normalized_switch_stress_bound,0.25,ratio,main-switch stress / measured output voltage,main MOSFET S,"<100 V stress / 400 V output",recalculated,Experimental results,Fig. 10(a),,numerically_verified_bound,"True value is <0.25; retained as an upper bound."
CLM-0024-04,PC-CAND-0024,soft_switching,ZCS,category,main switch turns on under zero-current switching,main MOSFET S,experimental waveform,reported,Experimental results,Fig. 10(a),,numerically_verified,"Diode natural turn-off/reverse-recovery behavior is recorded separately and not generalized to full ZVS."
CLM-0024-05,PC-CAND-0024,measured_voltage_gain,16,ratio,measured operating voltage ratio Vout/Vin,non-isolated quasi-resonant high-step-up converter,"25 V to 400 V prototype",recalculated,Experimental results,,,numerically_verified,"Same electrical denominator used in COMP-HG."
CLM-0027-01,PC-CAND-0027,efficiency_full_load,94.53,%,measured converter efficiency,non-isolated CISC high-step-up converter,"Pout=200 W; Vin=24 V; Vout=400 V; fs=50 kHz; CCM; D=0.60",reported,Experimental results,Fig. 15,Table 2,numerically_verified,"Separate from the 60-W peak-efficiency point."
CLM-0027-02,PC-CAND-0027,efficiency_peak,95.89,%,measured converter efficiency,non-isolated CISC high-step-up converter,"Pout=60 W",reported,Experimental results,Fig. 15,,numerically_verified,"Peak and full-load efficiency must not be collapsed."
CLM-0027-03,PC-CAND-0027,switch_voltage_stress,62,V,measured main-switch voltage stress,main switch S,"Pout=200 W full load",reported,Experimental results,Fig. 12,,numerically_verified,"Measured waveform value."
CLM-0027-04,PC-CAND-0027,normalized_switch_stress,0.155,ratio,main-switch stress / measured output voltage,main switch S,"62 V / 400 V measured output",recalculated,Experimental results,Fig. 12,,numerically_verified,"Common output-voltage denominator for COMP-HG."
CLM-0027-05,PC-CAND-0027,measured_voltage_gain,16.67,ratio,measured operating voltage ratio Vout/Vin,non-isolated CISC high-step-up converter,"24 V to 400 V prototype",recalculated,Experimental results,Fig. 14,Table 2,numerically_verified,"Rounded from 400/24."
CLM-0027-06,PC-CAND-0027,soft_switching,No,category,paper comparison-table classification,proposed converter,reported topology classification,reported,Comparison,,Table 1,numerically_verified,"Reduced switching/recovery loss wording is not evidence of ZVS/ZCS; Table 1 explicitly marks soft switching as No."
